default;VARSTA * -0,1804027;varsta;industrie;coef_industrie;RDCP;LCH;LCH * -0,1375285;RAIA;ROE;ROA;ROTA;PCA;PCA*-10,2012953;ACD;ACD*0,1306642;AIT;AIT * 0,4853927;ACT;PAT;CAT;coef_RATING
Yes;-0,7216108;4;SERVICII;-1,9360018;3,49;1,29;-0,18;0,04;0,01;0,00;0,65;0,00;-0,02;1,24;0,16;0,04;0,02;0,96;0,00;0,22;-2,68
No;-1,9844297;11;SERVICII;-1,9360018;0,05;20,25;-2,78;0,50;-0,08;-0,08;0,38;-0,21;2,10;13,48;1,76;0,33;0,16;0,67;-0,08;0,95;-2,68
Yes;-1,4432216;8;SERVICII;-1,9360018;5,75;1,17;-0,16;0,83;0,40;0,06;1,08;-0,06;0,56;0,64;0,08;0,45;0,22;0,55;0,06;0,15;-2,67
No;-0,3608054;2;SERVICII;-1,9360018;1,00;2,00;-0,27;0,26;0,93;0,47;0,97;0,04;-0,41;1,59;0,21;0,21;0,10;0,79;0,47;0,50;-2,67
No;-0,5412081;3;SERVICII;-1,9360018;7,21;1,14;-0,16;1,17;0,98;0,12;3,30;0,04;-0,37;0,52;0,07;0,54;0,26;0,46;0,12;0,12;-2,67
No;-1,4432216;8;COMERT;-0,2060851;0,44;3,26;-0,45;0,49;0,17;0,12;1,21;0,10;-1,02;2,19;0,29;0,33;0,16;0,67;0,12;0,70;-2,67
No;-0,9020135;5;SERVICII;-1,9360018;12,36;1,05;-0,14;0,21;-0,24;-0,02;1,62;-0,01;0,11;0,87;0,11;0,18;0,09;0,82;-0,02;0,08;-2,67
No;-0,3608054;2;SERVICII;-1,9360018;2,40;1,55;-0,21;0,09;0,29;0,08;2,08;0,04;-0,38;1,43;0,19;0,08;0,04;0,92;0,08;0,27;-2,67
Yes;-0,9020135;5;SERVICII;-1,9360018;16,28;1,06;-0,15;0,13;0,19;0,01;0,84;-0,01;0,14;0,94;0,12;0,12;0,06;0,88;0,01;0,06;-2,67
No;-1,0824162;6;SERVICII;-1,9360018;0,04;27,74;-3,82;1,87;-0,13;-0,12;0,48;-0,25;2,58;9,68;1,26;0,65;0,32;0,35;-0,12;0,96;-2,67
No;-0,3608054;2;SERVICII;-1,9360018;33,23;1,03;-0,14;0,05;3,21;0,09;2,51;0,04;-0,38;0,98;0,13;0,05;0,02;0,95;0,09;0,03;-2,67
No;-2,5256378;14;SERVICII;-1,9360018;0,02;63,67;-8,76;0,00;-0,23;-0,23;1,05;-0,22;2,24;63,67;8,32;0,00;0,00;1,00;-0,23;0,98;-2,66
No;-0,3608054;2;SERVICII;-1,9360018;2,00;1,50;-0,21;0,73;0,35;0,12;2,50;0,05;-0,47;0,87;0,11;0,42;0,20;0,58;0,12;0,33;-2,66
No;-0,7216108;4;SERVICII;-1,9360018;2,06;1,49;-0,20;0,30;0,03;0,01;1,57;0,01;-0,06;1,14;0,15;0,23;0,11;0,77;0,01;0,33;-2,66
No;-2,8864432;16;SERVICII;-1,9360018;0,14;8,08;-1,11;1,14;-0,21;-0,19;0,77;-0,25;2,53;3,78;0,49;0,53;0,26;0,47;-0,19;0,88;-2,66
No;-0,7216108;4;SERVICII;-1,9360018;1,40;1,72;-0,24;0,14;0,02;0,01;4,84;0,00;-0,02;1,50;0,20;0,12;0,06;0,88;0,01;0,42;-2,65
Yes;-1,6236243;9;COMERT;-0,2060851;0,03;40,46;-5,56;1,38;-0,04;-0,04;0,16;-0,22;2,24;17,01;2,22;0,58;0,28;0,42;-0,04;0,98;-2,65
Yes;-2,5256378;14;SERVICII;-1,9360018;-21,78;1,44;-0,20;0,42;0,09;0,00;0,00;-0,17;1,73;1,02;0,13;0,29;0,14;0,71;0,00;-0,03;-2,65
No;-0,3608054;2;SERVICII;-1,9360018;-10,05;1,97;-0,27;3,09;-1,40;0,07;1,41;0,05;-0,51;0,48;0,06;0,76;0,37;0,24;0,07;-0,05;-2,65
No;-0,5412081;3;SERVICII;-1,9360018;-3,68;0,73;-0,10;0,97;-0,06;0,02;0,70;0,03;-0,35;0,37;0,05;0,49;0,24;0,51;0,02;-0,37;-2,65
No;-1,804027;10;COMERT;-0,2060851;0,57;2,73;-0,38;0,06;0,27;0,17;2,82;0,06;-0,62;2,59;0,34;0,05;0,03;0,95;0,17;0,64;-2,64
No;-0,9020135;5;SERVICII;-1,9360018;4,12;1,24;-0,17;1,80;0,01;0,00;4,65;0,00;0,00;0,44;0,06;0,64;0,31;0,36;0,00;0,20;-2,64
No;-0,9020135;5;SERVICII;-1,9360018;25,13;1,02;-0,14;3,01;0,10;0,00;0,69;0,01;-0,06;0,25;0,03;0,75;0,36;0,25;0,00;0,04;-2,64
Yes;-1,2628189;7;COMERT;-0,2060851;0,06;19,57;-2,69;8,27;-0,12;-0,10;0,11;-0,08;0,82;2,11;0,28;0,89;0,43;0,11;-0,10;0,79;-2,64
No;-0,3608054;2;SERVICII;-1,9360018;0,91;2,10;-0,29;1,82;0,14;0,07;1,61;0,05;-0,46;0,74;0,10;0,65;0,31;0,35;0,07;0,52;-2,63
No;-0,1804027;1;SERVICII;-1,9360018;3,42;1,29;-0,18;0,42;0,98;0,22;3,76;0,06;-0,60;0,91;0,12;0,30;0,14;0,70;0,22;0,23;-2,63
No;-2,1648324;12;COMERT;-0,2060851;1,96;1,51;-0,21;0,38;0,10;0,04;1,09;0,03;-0,33;1,09;0,14;0,28;0,13;0,72;0,04;0,34;-2,63
Yes;-1,0824162;6;SERVICII;-1,9360018;-2,35;0,57;-0,08;0,84;0,62;-0,46;1,13;-0,02;0,20;0,31;0,04;0,46;0,22;0,54;-0,46;-0,74;-2,63
No;-0,5412081;3;SERVICII;-1,9360018;5,82;1,17;-0,16;0,12;0,11;0,02;0,89;0,02;-0,18;1,04;0,14;0,11;0,05;0,89;0,02;0,15;-2,63
Yes;-0,7216108;4;SERVICII;-1,9360018;6,05;1,16;-0,16;0,04;-0,01;0,00;0,84;0,00;0,02;1,12;0,15;0,04;0,02;0,96;0,00;0,14;-2,63
No;-0,7216108;4;SERVICII;-1,9360018;19,83;1,05;-0,14;0,32;0,09;0,00;0,86;0,00;-0,05;0,79;0,10;0,24;0,12;0,76;0,00;0,05;-2,63
No;-2,3452351;13;COMERT;-0,2060851;1,86;1,54;-0,21;0,01;0,02;0,01;1,28;0,01;-0,07;1,53;0,20;0,01;0,00;0,99;0,01;0,35;-2,63
Yes;-1,4432216;8;SERVICII;-1,9360018;5,95;1,17;-0,16;0,00;-0,93;-0,13;1,79;-0,08;0,77;1,17;0,15;0,00;0,00;1,00;-0,13;0,14;-2,62
No;-1,9844297;11;COMERT;-0,2060851;0,77;2,29;-0,31;0,45;0,17;0,10;2,09;0,05;-0,47;1,58;0,21;0,31;0,15;0,69;0,10;0,57;-2,62
No;-2,5256378;14;PRODUCTIE;-0,5517872;0,16;7,18;-0,99;0,00;-0,13;-0,11;0,17;-0,05;0,51;7,18;0,94;0,00;0,00;1,00;-0,11;0,86;-2,62
No;-0,7216108;4;SERVICII;-1,9360018;10,83;1,09;-0,15;0,52;0,24;0,02;3,08;0,01;-0,07;0,72;0,09;0,34;0,17;0,66;0,02;0,08;-2,62
No;-0,5412081;3;SERVICII;-1,9360018;6,72;1,15;-0,16;2,86;0,13;0,02;0,44;0,04;-0,38;0,30;0,04;0,74;0,36;0,26;0,02;0,13;-2,61
No;-0,1804027;1;SERVICII;-1,9360018;0,64;2,48;-0,34;0,82;0,31;0,20;3,68;0,05;-0,55;1,36;0,18;0,45;0,22;0,55;0,20;0,63;-2,61
No;-1,804027;10;COMERT;-0,2060851;3,99;1,24;-0,17;0,14;0,68;0,14;2,21;0,06;-0,63;1,09;0,14;0,12;0,06;0,88;0,14;0,20;-2,61
Yes;-1,4432216;8;SERVICII;-1,9360018;2,94;1,34;-0,18;0,26;0,22;0,06;0,80;-0,07;0,71;1,07;0,14;0,20;0,10;0,80;0,06;0,25;-2,61
No;-0,7216108;4;SERVICII;-1,9360018;2,50;1,38;-0,19;0,10;-0,02;-0,01;2,22;0,00;0,03;1,26;0,16;0,09;0,04;0,91;-0,01;0,29;-2,61
No;-0,1804027;1;SERVICII;-1,9360018;13,40;1,07;-0,15;3,97;0,99;0,07;0,92;0,07;-0,76;0,22;0,03;0,80;0,39;0,20;0,07;0,07;-2,61
No;-0,7216108;4;SERVICII;-1,9360018;6,34;1,15;-0,16;0,24;0,01;0,00;2,42;0,00;-0,01;0,93;0,12;0,19;0,09;0,81;0,00;0,14;-2,61
No;-0,9020135;5;SERVICII;-1,9360018;0,59;2,72;-0,37;0,34;-0,06;-0,04;1,71;-0,02;0,22;2,02;0,26;0,26;0,12;0,74;-0,04;0,63;-2,61
No;-1,804027;10;COMERT;-0,2060851;0,07;14,81;-2,04;0,36;0,00;0,00;0,11;0,01;-0,11;10,89;1,42;0,26;0,13;0,74;0,00;0,93;-2,61
Yes;-1,4432216;8;MEDICAL;-2,0331656;-1,86;0,46;-0,06;0,16;1,00;-1,18;1,32;-0,08;0,82;0,40;0,05;0,14;0,07;0,86;-1,18;-1,18;-2,61
No;-0,9020135;5;SERVICII;-1,9360018;69,95;0,99;-0,14;2,60;0,24;0,00;2,20;0,00;-0,02;0,28;0,04;0,72;0,35;0,28;0,00;0,01;-2,60
No;-0,5412081;3;SERVICII;-1,9360018;11,51;1,09;-0,15;0,00;0,96;0,08;6,83;0,01;-0,11;1,09;0,14;0,00;0,00;1,00;0,08;0,08;-2,60
Yes;-0,7216108;4;SERVICII;-1,9360018;3,01;1,29;-0,18;0,32;0,00;0,00;1,10;0,00;0,00;0,98;0,13;0,24;0,12;0,76;0,00;0,26;-2,59
No;-0,5412081;3;SERVICII;-1,9360018;3,50;1,29;-0,18;0,83;0,22;0,05;2,01;0,02;-0,25;0,70;0,09;0,45;0,22;0,55;0,05;0,22;-2,59
No;-0,7216108;4;SERVICII;-1,9360018;2,56;1,48;-0,20;0,88;0,04;0,01;1,78;0,01;-0,06;0,78;0,10;0,47;0,23;0,53;0,01;0,26;-2,59
No;-1,6236243;9;COMERT;-0,2060851;0,84;2,19;-0,30;0,02;0,15;0,08;1,14;0,07;-0,74;2,14;0,28;0,02;0,01;0,98;0,08;0,54;-2,58
No;-1,6236243;9;CONSTRUCTII;-0,8181026;1,34;2,25;-0,31;0,92;0,24;0,08;3,79;0,02;-0,22;1,17;0,15;0,48;0,23;0,52;0,08;0,33;-2,58
No;-0,5412081;3;SERVICII;-1,9360018;4318,43;1,00;-0,14;0,58;131,93;0,03;1,41;0,02;-0,22;0,63;0,08;0,37;0,18;0,63;0,03;0,00;-2,57
No;-0,1804027;1;SERVICII;-1,9360018;18,75;1,32;-0,18;13,96;0,27;0,01;0,15;0,07;-0,74;0,09;0,01;0,93;0,45;0,07;0,01;0,04;-2,57
No;-1,2628189;7;COMERT;-0,2060851;1,39;1,63;-0,22;0,12;0,40;0,18;1,61;0,11;-1,12;1,45;0,19;0,11;0,05;0,89;0,18;0,44;-2,57
No;-0,1804027;1;SERVICII;-1,9360018;1,56;1,60;-0,22;0,22;0,38;0,15;3,16;0,05;-0,49;1,32;0,17;0,18;0,09;0,82;0,15;0,40;-2,57
No;-0,7216108;4;SERVICII;-1,9360018;8,97;0,99;-0,14;0,39;0,00;0,00;5,72;0,00;0,00;0,71;0,09;0,28;0,14;0,72;0,00;0,11;-2,56
Yes;-0,9020135;5;SERVICII;-1,9360018;11,36;1,08;-0,15;4,53;0,00;0,00;0,82;0,00;0,00;0,20;0,03;0,82;0,40;0,18;0,00;0,08;-2,56
No;-0,5412081;3;SERVICII;-1,9360018;3,32;1,30;-0,18;0,38;0,17;0,04;2,49;0,02;-0,16;0,95;0,12;0,27;0,13;0,73;0,04;0,23;-2,56
No;-0,5412081;3;PRODUCTIE;-0,5517872;3,84;1,26;-0,17;0,12;0,85;0,17;1,19;0,15;-1,49;1,13;0,15;0,10;0,05;0,90;0,17;0,21;-2,56
No;-1,2628189;7;COMERT;-0,2060851;2,01;1,50;-0,21;0,00;0,27;0,09;0,84;0,11;-1,08;1,50;0,20;0,00;0,00;1,00;0,09;0,33;-2,56
No;-1,2628189;7;CONSTRUCTII;-0,8181026;0,91;2,54;-0,35;0,79;0,10;0,04;0,82;0,05;-0,52;1,42;0,19;0,44;0,21;0,56;0,04;0,43;-2,56
No;-0,7216108;4;SERVICII;-1,9360018;50,42;1,02;-0,14;3,70;0,76;0,01;0,92;0,02;-0,16;0,22;0,03;0,79;0,38;0,21;0,01;0,02;-2,55
No;-2,1648324;12;COMERT;-0,2060851;5,35;1,19;-0,16;0,44;0,50;0,08;2,93;0,03;-0,27;0,82;0,11;0,31;0,15;0,69;0,08;0,16;-2,55
No;-0,5412081;3;PRODUCTIE;-0,5517872;0,27;4,83;-0,66;0,99;0,11;0,08;0,62;0,13;-1,35;2,43;0,32;0,50;0,24;0,50;0,08;0,76;-2,55
No;-2,1648324;12;COMERT;-0,2060851;9,20;1,11;-0,15;0,04;0,34;0,03;1,86;0,02;-0,18;1,06;0,14;0,04;0,02;0,96;0,03;0,10;-2,55
No;-0,3608054;2;SERVICII;-1,9360018;49,24;1,02;-0,14;0,00;9,67;0,19;8,35;0,02;-0,24;1,02;0,13;0,00;0,00;1,00;0,19;0,02;-2,54
No;-2,7060405;15;SERVICII;-1,9360018;-1,80;0,45;-0,06;0,00;1,44;-1,80;8,70;-0,21;2,11;0,45;0,06;0,00;0,00;1,00;-1,80;-1,25;-2,54
No;-1,6236243;9;COMERT;-0,2060851;2,43;1,41;-0,19;0,32;0,58;0,17;2,25;0,08;-0,77;1,07;0,14;0,24;0,12;0,76;0,17;0,29;-2,53
No;-1,6236243;9;PRODUCTIE;-0,5517872;0,21;5,76;-0,79;2,45;0,01;0,01;0,46;0,01;-0,13;1,67;0,22;0,71;0,34;0,29;0,01;0,82;-2,53
No;-2,5256378;14;COMERT;-0,2060851;0,92;2,09;-0,29;2,54;-0,02;-0,01;1,34;-0,01;0,06;0,59;0,08;0,72;0,35;0,28;-0,01;0,52;-2,53
No;-0,7216108;4;SERVICII;-1,9360018;-1,28;0,22;-0,03;1,36;-0,01;0,03;2,02;0,01;-0,13;0,09;0,01;0,58;0,28;0,42;0,03;-3,59;-2,53
No;-1,2628189;7;SERVICII;-1,9360018;-1,08;0,07;-0,01;3,30;0,25;-3,15;6,15;-0,03;0,31;0,02;0,00;0,77;0,37;0,23;-3,15;-12,45;-2,53
No;-0,3608054;2;SERVICII;-1,9360018;2,86;1,35;-0,19;0,21;0,23;0,06;2,20;0,03;-0,28;1,11;0,15;0,18;0,09;0,82;0,06;0,26;-2,53
No;-1,0824162;6;SERVICII;-1,9360018;0,43;3,43;-0,47;0,18;-0,14;-0,09;1,89;-0,05;0,51;2,90;0,38;0,16;0,08;0,84;-0,09;0,68;-2,53
No;-1,9844297;11;COMERT;-0,2060851;3,36;1,30;-0,18;0,08;0,32;0,07;2,12;0,03;-0,35;1,20;0,16;0,07;0,04;0,93;0,07;0,23;-2,53
No;-1,2628189;7;SERVICII;-1,9360018;30,84;1,03;-0,14;3,55;-3,97;-0,12;0,22;-0,04;0,41;0,23;0,03;0,78;0,38;0,22;-0,12;0,03;-2,52
Yes;-1,4432216;8;SERVICII;-1,9360018;63,68;1,02;-0,14;0,77;-2,24;-0,03;0,50;-0,07;0,71;0,57;0,07;0,44;0,21;0,56;-0,03;0,02;-2,52
No;-0,9020135;5;SERVICII;-1,9360018;-1,21;0,18;-0,02;0,34;0,31;-1,42;3,42;-0,02;0,20;0,13;0,02;0,26;0,12;0,74;-1,42;-4,57;-2,52
No;-3,2472486;18;CONSTRUCTII;-0,8181026;-1,00;0,00;0,00;0,33;0,01;-68,75;15,50;-0,14;1,43;0,00;0,00;0,25;0,12;0,75;-68,75;-5420,00;-2,52
No;-1,4432216;8;SERVICII;-1,9360018;0,58;2,70;-0,37;0,15;-0,19;-0,12;1,41;-0,08;0,86;2,34;0,31;0,13;0,06;0,87;-0,12;0,64;-2,52
No;-0,3608054;2;CONSTRUCTII;-0,8181026;0,22;5,47;-0,75;0,44;1,00;0,82;1,02;0,12;-1,22;3,81;0,50;0,30;0,15;0,70;0,82;0,82;-2,51
No;-0,3608054;2;SERVICII;-1,9360018;3,48;1,29;-0,18;0,00;3,55;0,79;1,80;0,02;-0,20;1,29;0,17;0,00;0,00;1,00;0,79;0,22;-2,51
No;-1,6236243;9;COMERT;-0,2060851;0,62;2,60;-0,36;0,04;0,28;0,18;2,74;0,06;-0,66;2,49;0,33;0,04;0,02;0,96;0,18;0,62;-2,50
No;-3,0668459;17;COMERT;-0,2060851;-1,53;0,35;-0,05;0,04;0,18;-0,34;4,63;-0,07;0,76;0,33;0,04;0,04;0,02;0,96;-0,34;-1,89;-2,50
No;-0,3608054;2;SERVICII;-1,9360018;2,24;1,46;-0,20;0,20;0,22;0,07;2,80;0,02;-0,24;1,21;0,16;0,17;0,08;0,83;0,07;0,31;-2,50
No;-0,5412081;3;SERVICII;-1,9360018;8,32;1,12;-0,15;0,21;0,10;0,01;1,57;0,01;-0,07;0,93;0,12;0,17;0,08;0,83;0,01;0,11;-2,50
No;-0,1804027;1;SERVICII;-1,9360018;2,75;1,36;-0,19;0,85;0,48;0,13;2,54;0,05;-0,51;0,74;0,10;0,46;0,22;0,54;0,13;0,27;-2,50
No;-2,7060405;15;PRODUCTIE;-0,5517872;0,16;7,42;-1,02;0,00;-0,16;-0,14;0,00;-0,08;0,82;7,42;0,97;0,00;0,00;1,00;-0,14;0,87;-2,49
No;-0,3608054;2;SERVICII;-1,9360018;26,14;1,04;-0,14;0,14;1,69;0,06;2,76;0,02;-0,23;0,91;0,12;0,12;0,06;0,88;0,06;0,04;-2,49
No;-1,804027;10;PRODUCTIE;-0,5517872;1,62;1,59;-0,22;0,24;0,03;0,01;0,69;0,02;-0,18;1,28;0,17;0,20;0,09;0,80;0,01;0,39;-2,49
No;-0,3608054;2;SERVICII;-1,9360018;2,42;1,39;-0,19;0,32;0,16;0,05;1,87;0,02;-0,25;1,05;0,14;0,24;0,12;0,76;0,05;0,30;-2,48
No;-0,3608054;2;SERVICII;-1,9360018;-41,65;1,66;-0,23;0,76;-0,45;0,01;0,23;0,03;-0,29;0,95;0,12;0,43;0,21;0,57;0,01;-0,01;-2,48
No;-1,0824162;6;SERVICII;-1,9360018;-4,00;0,76;-0,10;0,07;0,84;-0,28;5,50;-0,05;0,52;0,71;0,09;0,07;0,03;0,93;-0,28;-0,33;-2,48
No;-1,4432216;8;COMERT;-0,2060851;0,63;2,57;-0,35;0,05;0,38;0,23;2,92;0,08;-0,82;2,45;0,32;0,05;0,02;0,95;0,23;0,62;-2,48
No;-1,6236243;9;CONSTRUCTII;-0,8181026;3,97;1,25;-0,17;0,51;0,09;0,02;1,35;0,01;-0,13;0,83;0,11;0,34;0,16;0,66;0,02;0,20;-2,47
No;-0,5412081;3;SERVICII;-1,9360018;1,53;1,65;-0,23;0,45;0,03;0,01;1,57;0,01;-0,07;1,14;0,15;0,31;0,15;0,69;0,01;0,40;-2,47
No;-1,2628189;7;SERVICII;-1,9360018;0,99;2,01;-0,28;0,10;-0,68;-0,34;4,88;-0,07;0,72;1,82;0,24;0,09;0,05;0,91;-0,34;0,50;-2,47
No;-0,3608054;2;SERVICII;-1,9360018;1,19;1,83;-0,25;0,71;0,08;0,03;1,34;0,03;-0,27;1,07;0,14;0,42;0,20;0,58;0,03;0,46;-2,47
No;-1,4432216;8;CONSTRUCTII;-0,8181026;0,23;5,33;-0,73;0,87;0,00;0,00;0,45;0,01;-0,08;2,85;0,37;0,46;0,23;0,54;0,00;0,81;-2,47
No;-1,6236243;9;SERVICII;-1,9360018;-158,32;0,99;-0,14;3,73;0,82;-0,01;0,01;-0,08;0,82;0,21;0,03;0,79;0,38;0,21;-0,01;-0,01;-2,47
No;-0,3608054;2;SERVICII;-1,9360018;8,30;1,11;-0,15;0,23;0,35;0,04;1,69;0,02;-0,23;0,90;0,12;0,19;0,09;0,81;0,04;0,11;-2,47
Yes;-1,2628189;7;SERVICII;-1,9360018;-6,83;0,85;-0,12;0,07;0,78;-0,13;0,16;-0,07;0,71;0,80;0,10;0,07;0,03;0,93;-0,13;-0,17;-2,47
Yes;-1,6236243;9;SERVICII;-1,9360018;-10,79;0,91;-0,12;3,44;4,39;-0,45;0,44;-0,08;0,82;0,20;0,03;0,77;0,38;0,23;-0,45;-0,10;-2,47
Yes;-1,4432216;8;SERVICII;-1,9360018;-1,28;0,22;-0,03;0,00;0,73;-2,59;2,20;-0,09;0,92;0,22;0,03;0,00;0,00;1,00;-2,59;-3,56;-2,46
No;-1,2628189;7;CONSTRUCTII;-0,8181026;-5,73;0,83;-0,11;0,41;-0,68;0,14;3,00;0,05;-0,49;0,59;0,08;0,29;0,14;0,71;0,14;-0,21;-2,46
No;-0,9020135;5;SERVICII;-1,9360018;0,33;4,01;-0,55;0,10;-0,38;-0,29;0,57;-0,04;0,41;3,66;0,48;0,09;0,04;0,91;-0,29;0,76;-2,46
Yes;-0,5412081;3;SERVICII;-1,9360018;33,99;1,03;-0,14;0,03;-0,28;-0,01;3,81;0,00;0,02;1,00;0,13;0,03;0,02;0,97;-0,01;0,03;-2,45
No;-1,9844297;11;SERVICII;-1,9360018;-5,74;0,83;-0,11;6,02;0,47;-0,10;0,88;-0,11;1,15;0,12;0,02;0,86;0,42;0,14;-0,10;-0,21;-2,45
No;-0,5412081;3;SERVICII;-1,9360018;23,60;1,04;-0,14;0,41;0,18;0,01;1,12;0,01;-0,07;0,74;0,10;0,29;0,14;0,71;0,01;0,04;-2,45
No;-1,0824162;6;SERVICII;-1,9360018;3,55;1,28;-0,18;1,17;-0,06;-0,01;0,03;-0,04;0,41;0,59;0,08;0,54;0,26;0,46;-0,01;0,22;-2,45
No;-0,7216108;4;PRODUCTIE;-0,5517872;0,30;4,46;-0,61;0,82;0,08;0,06;0,55;0,11;-1,10;2,46;0,32;0,45;0,22;0,55;0,06;0,75;-2,45
No;-0,5412081;3;SERVICII;-1,9360018;2,77;1,36;-0,19;1,21;0,21;0,06;4,50;0,01;-0,13;0,62;0,08;0,55;0,27;0,45;0,06;0,27;-2,45
No;-0,5412081;3;SERVICII;-1,9360018;37,45;1,03;-0,14;0,27;0,14;0,00;1,18;0,00;-0,03;0,81;0,11;0,22;0,10;0,78;0,00;0,03;-2,44
No;-1,2628189;7;SERVICII;-1,9360018;6,51;1,15;-0,16;0,18;-0,44;-0,06;0,84;-0,07;0,72;0,98;0,13;0,15;0,07;0,85;-0,06;0,13;-2,44
Yes;-0,7216108;4;SERVICII;-1,9360018;10,53;1,07;-0,15;0,11;0,50;0,04;2,32;-0,02;0,19;0,97;0,13;0,10;0,05;0,90;0,04;0,09;-2,44
No;-1,0824162;6;COMERT;-0,2060851;1,52;1,59;-0,22;0,18;0,50;0,21;1,78;0,12;-1,18;1,34;0,18;0,15;0,07;0,85;0,21;0,41;-2,44
Yes;-1,0824162;6;SERVICII;-1,9360018;-1,19;0,17;-0,02;0,20;0,28;-1,36;2,25;-0,05;0,51;0,14;0,02;0,17;0,08;0,83;-1,36;-4,89;-2,43
No;-0,7216108;4;SERVICII;-1,9360018;13,69;1,00;-0,14;2,08;0,01;0,00;1,30;0,00;-0,01;0,32;0,04;0,68;0,33;0,32;0,00;0,07;-2,43
No;-1,0824162;6;SERVICII;-1,9360018;-1,24;0,19;-0,03;0,53;0,00;-0,02;0,44;-0,04;0,43;0,13;0,02;0,35;0,17;0,65;-0,02;-4,21;-2,43
No;-0,3608054;2;SERVICII;-1,9360018;5,58;1,18;-0,16;0,19;0,10;0,02;0,86;0,02;-0,18;0,99;0,13;0,16;0,08;0,84;0,02;0,15;-2,43
Yes;-1,6236243;9;SERVICII;-1,9360018;-5,01;0,79;-0,11;0,06;1,10;-0,28;0,16;-0,11;1,12;0,75;0,10;0,05;0,03;0,95;-0,28;-0,25;-2,42
No;-0,3608054;2;SERVICII;-1,9360018;19,79;1,05;-0,14;0,00;0,92;0,04;3,97;0,01;-0,11;1,05;0,14;0,00;0,00;1,00;0,04;0,05;-2,42
No;-3,2472486;18;AGRI;-0,5517872;-0,68;0,98;-0,13;0,21;0,01;-0,01;0,00;-0,13;1,33;0,80;0,11;0,18;0,09;0,82;-0,01;-1,50;-2,42
No;-1,9844297;11;COMERT;-0,2060851;9,06;1,11;-0,15;0,03;0,43;0,04;1,93;0,02;-0,23;1,07;0,14;0,03;0,02;0,97;0,04;0,10;-2,42
No;-0,9020135;5;PRODUCTIE;-0,5517872;1,77;1,57;-0,22;0,15;0,47;0,17;1,78;0,10;-0,98;1,36;0,18;0,13;0,06;0,87;0,17;0,36;-2,41
No;-0,1804027;1;SERVICII;-1,9360018;2,18;1,47;-0,20;0,25;0,34;0,11;3,21;0,03;-0,33;1,18;0,15;0,20;0,10;0,80;0,11;0,31;-2,40
Yes;-0,9020135;5;SERVICII;-1,9360018;0,64;2,57;-0,35;0,62;-1,25;-0,76;1,45;-0,04;0,41;1,59;0,21;0,38;0,19;0,62;-0,76;0,61;-2,39
No;-1,6236243;9;COMERT;-0,2060851;1,73;1,58;-0,22;0,00;0,07;0,03;0,50;0,05;-0,55;1,58;0,21;0,00;0,00;1,00;0,03;0,37;-2,39
No;-1,9844297;11;COMERT;-0,2060851;2,30;1,43;-0,20;0,28;0,17;0,05;2,05;0,02;-0,25;1,12;0,15;0,22;0,10;0,78;0,05;0,30;-2,39
No;-1,804027;10;PRODUCTIE;-0,5517872;0,38;3,69;-0,51;2,18;0,00;0,00;0,28;0,00;-0,01;1,16;0,15;0,69;0,33;0,31;0,00;0,72;-2,39
No;-2,8864432;16;COMERT;-0,2060851;-15,65;0,94;-0,13;0,00;1,57;-0,11;0,13;-0,07;0,71;0,93;0,12;0,00;0,00;1,00;-0,11;-0,07;-2,38
No;-0,7216108;4;SERVICII;-1,9360018;0,33;4,01;-0,55;1,30;-0,02;-0,02;0,52;-0,03;0,32;1,75;0,23;0,57;0,27;0,43;-0,02;0,75;-2,38
No;-0,9020135;5;SERVICII;-1,9360018;-26,15;0,96;-0,13;0,05;1,95;-0,08;1,78;-0,04;0,44;0,91;0,12;0,05;0,02;0,95;-0,08;-0,04;-2,38
Yes;-1,6236243;9;SERVICII;-1,9360018;11,86;0,97;-0,13;1,33;0,53;0,05;0,48;-0,10;0,98;0,42;0,05;0,57;0,28;0,43;0,05;0,09;-2,38
No;-1,6236243;9;COMERT;-0,2060851;1,48;1,68;-0,23;0,77;0,32;0,13;1,99;0,06;-0,66;0,95;0,12;0,44;0,21;0,56;0,13;0,40;-2,38
No;-1,0824162;6;COMERT;-0,2060851;0,47;3,11;-0,43;0,53;0,18;0,12;1,13;0,11;-1,10;2,03;0,26;0,35;0,17;0,65;0,12;0,68;-2,38
No;-1,2628189;7;SERVICII;-1,9360018;0,60;2,63;-0,36;0,41;-0,31;-0,20;2,53;-0,08;0,80;1,87;0,24;0,29;0,14;0,71;-0,20;0,63;-2,38
No;-1,2628189;7;SERVICII;-1,9360018;3,03;1,33;-0,18;0,20;-0,12;-0,03;0,38;-0,08;0,78;1,11;0,14;0,17;0,08;0,83;-0,03;0,25;-2,38
No;-0,3608054;2;MEDICAL;-2,0331656;-55,68;0,86;-0,12;0,17;-1,19;0,02;8,28;0,00;-0,03;0,74;0,10;0,15;0,07;0,85;0,02;-0,02;-2,38
No;-0,5412081;3;SERVICII;-1,9360018;3,36;1,30;-0,18;2,80;0,05;0,01;1,01;0,01;-0,12;0,34;0,04;0,74;0,36;0,26;0,01;0,23;-2,37
No;-0,5412081;3;SERVICII;-1,9360018;4,74;1,19;-0,16;0,52;0,00;0,00;7,65;0,00;0,00;0,78;0,10;0,34;0,17;0,66;0,00;0,18;-2,37
