default;VARSTA * -0,1804027;varsta;industrie;coef_industrie;RDCP;LCH;LCH * -0,1375285;RAIA;ROE;ROA;ROTA;PCA;PCA*-10,2012953;ACD;ACD*0,1306642;AIT;AIT * 0,4853927;ACT;PAT;CAT;coef_RATING
No;-3,2472486;18;SERVICII;-1,9360018;0,92;2,21;-0,30;0,85;0,06;0,03;2,45;0,01;-0,12;1,19;0,16;0,46;0,22;0,54;0,03;0,49;-5,23
No;-1,804027;10;SERVICII;-1,9360018;2,80;1,35;-0,19;0,14;0,96;0,25;1,69;0,15;-1,52;1,19;0,16;0,12;0,06;0,88;0,25;0,26;-5,23
No;-1,0824162;6;SERVICII;-1,9360018;0,05;22,29;-3,07;0,36;0,25;0,24;1,71;0,14;-1,41;16,39;2,14;0,26;0,13;0,74;0,24;0,94;-5,23
No;-3,0668459;17;SERVICII;-1,9360018;11,84;1,11;-0,15;0,07;0,49;0,04;1,63;0,02;-0,23;1,04;0,14;0,07;0,03;0,93;0,04;0,08;-5,22
No;-1,9844297;11;SERVICII;-1,9360018;-3,38;1,32;-0,18;1,08;-0,84;0,19;1,33;0,14;-1,45;0,63;0,08;0,52;0,25;0,48;0,19;-0,22;-5,22
No;-2,5256378;14;SERVICII;-1,9360018;0,41;3,42;-0,47;0,00;0,13;0,09;1,32;0,07;-0,73;3,42;0,45;0,00;0,00;1,00;0,09;0,71;-5,22
No;-1,804027;10;SERVICII;-1,9360018;0,33;4,05;-0,56;0,57;0,40;0,30;2,16;0,14;-1,43;2,58;0,34;0,36;0,18;0,64;0,30;0,75;-5,22
No;-3,0668459;17;SERVICII;-1,9360018;0,83;2,20;-0,30;0,59;0,05;0,03;1,04;0,03;-0,27;1,39;0,18;0,37;0,18;0,63;0,03;0,55;-5,21
No;-0,7216108;4;SERVICII;-1,9360018;0,01;128,66;-17,69;0,04;0,06;0,06;0,59;0,11;-1,07;123,96;16,20;0,04;0,02;0,96;0,06;0,99;-5,21
No;-1,804027;10;SERVICII;-1,9360018;0,42;3,36;-0,46;0,54;0,38;0,27;1,89;0,14;-1,46;2,19;0,29;0,35;0,17;0,65;0,27;0,71;-5,21
No;-1,2628189;7;SERVICII;-1,9360018;1,13;1,93;-0,27;0,10;0,34;0,16;0,80;0,20;-2,01;1,76;0,23;0,09;0,04;0,91;0,16;0,46;-5,20
No;-0,1804027;1;SERVICII;-1,9360018;2,23;1,45;-0,20;0,23;0,78;0,24;0,79;0,31;-3,12;1,17;0,15;0,19;0,09;0,81;0,24;0,31;-5,19
